event_title,speaker,category,description ,venue
TEDx 2024,Dr. Tedros Adhanom,Technology/Innovation,"A global event focused on Music trends, challenges, and innovations.","Austin Convention Center, USA"
Cannes Film Festival 2024,Marissa Mayer,Cybersecurity/Hacking,"A global event focused on Cybersecurity trends, challenges, and innovations.","Marina Bay Sands, Singapore"
GitHub Universe 2024,Edward Snowden,AI/Technology,"A global event focused on Economic trends, challenges, and innovations.","Austin Convention Center, USA"
Re:Mars 2024,Elon Musk,Literature/Global,"A global event focused on Fintech trends, challenges, and innovations.","Las Vegas Convention Center, USA"
Mobile World Congress 2024,Satya Nadella,Music/Entertainment,"A global event focused on Environmental trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
eCommerce Expo 2024,Larry Page,Health/Medical,"A global event focused on Fintech trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
Machine Learning Summit 2024,Nat Friedman,Space/Technology,"A global event focused on Robotics trends, challenges, and innovations.","Olympia, London, UK"
eCommerce Expo 2024,Edward Snowden,Space/Technology,"A global event focused on Film trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
London Book Fair 2024,Greta Thunberg,Fintech/Technology,"A global event focused on Cybersecurity trends, challenges, and innovations.","Austin Convention Center, USA"
RSA Conference 2024,Ginni Rometty,Film/Entertainment,"A global event focused on Health trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
World Economic Forum 2024,Marissa Mayer,Fintech/Technology,"A global event focused on Sports trends, challenges, and innovations.","Sydney Opera House, Australia"
Formula 1 Grand Prix 2024,Meg Whitman,Economic/Global,"A global event focused on Space trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
AI Expo Global 2024,Susan Wojcicki,Economic/Global,"A global event focused on Space trends, challenges, and innovations.","Marina Bay Sands, Singapore"
London Book Fair 2024,Sundar Pichai,Startup/Technology,"A global event focused on Art trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
RSA Conference 2024,Sundar Pichai,Sports/Entertainment,"A global event focused on Technology trends, challenges, and innovations.","Messe Basel, Switzerland"
Re:Mars 2024,Larry Page,Environmental/Sustainability,"A global event focused on Economic trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
Black Hat 2024,Jehan Ara,Space/Technology,"A global event focused on Economic trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
Cisco Live 2024,Jack Dorsey,Fashion/Global,"A global event focused on Literature trends, challenges, and innovations.","Expo Center, Lahore, Pakistan"
World Robotics Championship 2024,Reed Hastings,Sports/Entertainment,"A global event focused on Economic trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
AI Expo Global 2024,Sheryl Sandberg,Startup/Technology,"A global event focused on Technology trends, challenges, and innovations.","UN Headquarters, New York, USA"
TechEd Europe 2024,Marc Benioff,Art/Culture,"A global event focused on Film trends, challenges, and innovations.","UN Headquarters, New York, USA"
Open Source Summit 2024,Dr. Tedros Adhanom,Film/Entertainment,"A global event focused on Space trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
DjangoCon 2024,Cristiano Amon,Fintech/Technology,"A global event focused on Economic trends, challenges, and innovations.","Palais Brongniart, Paris, France"
Mobile World Congress 2024,Jehan Ara,Space/Technology,"A global event focused on Technology trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
Tokyo Game Show 2024,Dr. Tedros Adhanom,Technology/Innovation,"A global event focused on Fashion trends, challenges, and innovations.","Tokyo Big Sight, Japan"
Art Basel 2024,Meg Whitman,Health/Medical,"A global event focused on Sports trends, challenges, and innovations.","Olympia, London, UK"
Art Basel 2024,Bill Gates,Space/Technology,"A global event focused on Robotics trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
Blockchain Expo 2024,Jehan Ara,Space/Technology,"A global event focused on Fashion trends, challenges, and innovations.","Austin Convention Center, USA"
RSA Conference 2024,Larry Page,Economic/Global,"A global event focused on Fashion trends, challenges, and innovations.","Tokyo Big Sight, Japan"
Robotics Expo 2024,Dr. Tedros Adhanom,Space/Technology,"A global event focused on Technology trends, challenges, and innovations.","Tokyo Big Sight, Japan"
Open Source Summit 2024,Meg Whitman,Robotics/Technology,"A global event focused on Economic trends, challenges, and innovations.","Dubai World Trade Centre, UAE"
Robotics Expo 2024,Edward Snowden,Sports/Entertainment,"A global event focused on Environmental trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
Black Hat 2024,Reed Hastings,Technology/Innovation,"A global event focused on Health trends, challenges, and innovations.","Marina Bay Sands, Singapore"
Python Conference 2024,Bruce Schneier,Gaming/Entertainment,"A global event focused on Cybersecurity trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
AWS re:Invent 2024,Cristiano Amon,Environmental/Sustainability,"A global event focused on Fintech trends, challenges, and innovations.","ESA HQ, Paris, France"
SXSW Music Festival 2024,Bruce Schneier,AI/Technology,"A global event focused on Cybersecurity trends, challenges, and innovations.","Paris Las Vegas, USA"
SXSW Music Festival 2024,Bruce Schneier,Film/Entertainment,"A global event focused on Economic trends, challenges, and innovations.","Sydney Opera House, Australia"
Digital Transformation Week 2024,Sergey Brin,Environmental/Sustainability,"A global event focused on Technology trends, challenges, and innovations.","ESA HQ, Paris, France"
Mobile World Congress 2024,Sergey Brin,Film/Entertainment,"A global event focused on Economic trends, challenges, and innovations.","Austin Convention Center, USA"
TechCrunch Disrupt 2024,Elon Musk,Sports/Entertainment,"A global event focused on Film trends, challenges, and innovations.","Olympia, London, UK"
DEF CON 2024,Dr. Tedros Adhanom,Art/Culture,"A global event focused on Fashion trends, challenges, and innovations.","Moscone Center, San Francisco, USA"
Digital Health Summit 2024,Tim Berners-Lee,Gaming/Entertainment,"A global event focused on Technology trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
RSA Conference 2024,Meg Whitman,Gaming/Entertainment,"A global event focused on Sports trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
Tokyo Game Show 2024,Sundar Pichai,Health/Medical,"A global event focused on Environmental trends, challenges, and innovations.","Marina Bay Sands, Singapore"
DjangoCon 2024,Marissa Mayer,Robotics/Technology,"A global event focused on Film trends, challenges, and innovations.","Austin Convention Center, USA"
SXSW 2024,Dr. Tedros Adhanom,Fintech/Technology,"A global event focused on Economic trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
Tokyo Game Show 2024,Greta Thunberg,Sports/Entertainment,"A global event focused on Cybersecurity trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
Tokyo Game Show 2024,Marc Benioff,Health/Medical,"A global event focused on Art trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
GITEX 2024,Marissa Mayer,Startup/Technology,"A global event focused on Sports trends, challenges, and innovations.","The Venetian, Las Vegas, USA"
Google I/O 2024,Meg Whitman,Literature/Global,"A global event focused on Cybersecurity trends, challenges, and innovations.","Paris Las Vegas, USA"
Adobe MAX 2024,Ginni Rometty,Robotics/Technology,"A global event focused on Fashion trends, challenges, and innovations.","Olympia, London, UK"
E3 Expo 2024,Marissa Mayer,Music/Entertainment,"A global event focused on Robotics trends, challenges, and innovations.","Tokyo Big Sight, Japan"
Apple WWDC 2024,Susan Wojcicki,Film/Entertainment,"A global event focused on Literature trends, challenges, and innovations.","Moscone Center, San Francisco, USA"
Art Basel 2024,Tim Berners-Lee,Fintech/Technology,"A global event focused on Space trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
Tokyo Game Show 2024,Jack Dorsey,Sports/Entertainment,"A global event focused on AI trends, challenges, and innovations.","Paris Las Vegas, USA"
Re:Mars 2024,Satya Nadella,Technology/Innovation,"A global event focused on Technology trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
Blockchain Expo 2024,Bill Gates,Technology/Innovation,"A global event focused on Startup trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
Digital Health Summit 2024,Bruce Schneier,Environmental/Sustainability,"A global event focused on Economic trends, challenges, and innovations.","ESA HQ, Paris, France"
Tokyo Game Show 2024,Sergey Brin,Economic/Global,"A global event focused on Environmental trends, challenges, and innovations.","Dubai World Trade Centre, UAE"
eCommerce Expo 2024,Jehan Ara,Gaming/Entertainment,"A global event focused on Fintech trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
TEDx 2024,Reed Hastings,Fashion/Global,"A global event focused on Economic trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
SaaStr Annual 2024,Satya Nadella,AI/Technology,"A global event focused on Startup trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
SXSW 2024,Tim Berners-Lee,Fintech/Technology,"A global event focused on Fashion trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
Google I/O 2024,Nat Friedman,Fintech/Technology,"A global event focused on Sports trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
World Robotics Championship 2024,Sheryl Sandberg,Gaming/Entertainment,"A global event focused on Technology trends, challenges, and innovations.","Moscone Center, San Francisco, USA"
DreamHack 2024,Marc Benioff,Literature/Global,"A global event focused on Fashion trends, challenges, and innovations.","Austin Convention Center, USA"
Python Conference 2024,Andy Jassy,Film/Entertainment,"A global event focused on Cybersecurity trends, challenges, and innovations.","Expo Center, Lahore, Pakistan"
DEF CON 2024,Bill Gates,Fashion/Global,"A global event focused on Fintech trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
DreamHack 2024,Marissa Mayer,AI/Technology,"A global event focused on Startup trends, challenges, and innovations.","The Venetian, Las Vegas, USA"
GITEX 2024,Jack Dorsey,Art/Culture,"A global event focused on Environmental trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
DEF CON 2024,Ginni Rometty,Music/Entertainment,"A global event focused on Economic trends, challenges, and innovations.","Palais Brongniart, Paris, France"
European Space Agency Conference 2024,Sergey Brin,Art/Culture,"A global event focused on Robotics trends, challenges, and innovations.","Davos, Switzerland"
GitHub Universe 2024,Edward Snowden,Environmental/Sustainability,"A global event focused on Startup trends, challenges, and innovations.","Messe Basel, Switzerland"
RSA Conference 2024,Jehan Ara,AI/Technology,"A global event focused on Health trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
TechEd Europe 2024,Marc Benioff,Technology/Innovation,"A global event focused on Music trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
SXSW Music Festival 2024,Edward Snowden,Health/Medical,"A global event focused on Literature trends, challenges, and innovations.","The Venetian, Las Vegas, USA"
Re:Mars 2024,Dr. Tedros Adhanom,Music/Entertainment,"A global event focused on AI trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
SaaStr Annual 2024,Ginni Rometty,Fashion/Global,"A global event focused on Fintech trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
SXSW Music Festival 2024,Nat Friedman,Gaming/Entertainment,"A global event focused on Literature trends, challenges, and innovations.","The Venetian, Las Vegas, USA"
